name,price,profit
Share-DUPH,10.01,12.25
Share-GTAN,26.04,38.06
Share-USUF,9.25,27.69
Share-CFOZ,10.64,38.21
Share-QLRX,15.72,27.47
Share-XJDT,0.0,37.11
Share-HKFP,23.97,19.66
Share-PPPH,24.06,38.2
Share-HLJY,26.98,5.54
Share-YKBD,0.0,22.75
Share-CTCR,16.6,12.4
Share-LMJG,16.54,29.82
Share-IGUH,19.13,14.3
Share-VIRY,31.94,1.84
Share-PYDS,34.9,30.69
Share-SOOE,23.09,38.04
Share-NOIQ,24.08,36.81
Share-QUXB,36.97,36.08
Share-SJNY,24.61,17.43
Share-CQYF,26.26,0.65
Share-XJSP,42.08,3.03
Share-YNWM,9.94,28.25
